file,backend,label,dp,tp,gpus,tokens_per_sec,iter_time_ms,overlap_pct,bandwidth_gbps,total_traffic_gb,allgather_bw,reducescatter_bw,allreduce_bw
gloo_20251201-093744_llama38B_dp1x4_tp1_gpu4.txt,GLOO,LLaMA 3 8B | 4 GPUs | DP=4 TP=1,4,1,4,70756.3,231.56,80.93,82.02,119.67,38.73,136.02,0.02
gloo_20251201-100419_llama38B_dp1x1_tp4_gpu4.txt,GLOO,LLaMA 3 8B | 4 GPUs | DP=1 TP=4,1,4,4,10209.67,401.19,15.1,125.7,48.84,38.2,146.88,1.79
gloo_20251209-190530_llama38B_dp1x8_tp1_gpu8.txt,GLOO,LLaMA 3 8B | 8 GPUs | DP=8 TP=1,8,1,8,23738.0,1380.4,12.55,4.47,252.03,0.59,4.92,0.04
gloo_20251218-185609_llama38B_dp1x1_tp8_gpu8.txt,GLOO,LLaMA 3 8B | 8 GPUs | DP=1 TP=8,1,8,8,5855.56,2798.02,0.1,4.33,410.15,0.6,4.78,0.37
gloo_20251218-201351_qwen332B_dp1x16_tp1_gpu16.txt,GLOO,Qwen 32B | 16 GPUs | DP=16 TP=1,16,1,16,7009.32,4674.92,6.36,4.58,2087.13,0.31,4.87,0.0
nccl_20251201-092838_llama38B_dp1x4_tp1_gpu4.txt,NCCL,LLaMA 3 8B | 4 GPUs | DP=4 TP=1,4,1,4,82197.43,199.32,91.09,98.85,119.67,38.65,144.38,0.01
nccl_20251201-090423_llama38B_dp1x2_tp2_gpu4.txt,NCCL,LLaMA 3 8B | 4 GPUs | DP=2 TP=2,2,2,4,69558.69,117.77,64.75,58.81,100.78,31.99,73.8,1.18
nccl_20251201-085730_llama38B_dp1x1_tp4_gpu4.txt,NCCL,LLaMA 3 8B | 4 GPUs | DP=1 TP=4,1,4,4,10157.34,403.26,15.09,126.5,48.84,38.36,149.75,1.81
nccl_20251209-172602_llama38B_dp1x8_tp1_gpu8.txt,NCCL,LLaMA 3 8B | 8 GPUs | DP=8 TP=1,8,1,8,24784.52,1322.12,13.06,4.57,252.03,0.64,5.04,0.0
nccl_20251218-182625_llama38B_dp1x4_tp2_gpu8.txt,NCCL,LLaMA 3 8B | 8 GPUs | DP=4 TP=2,4,2,8,14991.32,1092.9,6.33,61.03,207.97,28.38,77.56,1.24
nccl_20251218-183819_llama38B_dp1x2_tp4_gpu8.txt,NCCL,LLaMA 3 8B | 8 GPUs | DP=2 TP=4,2,4,8,21626.8,757.58,9.24,117.64,197.33,22.28,150.42,0.69
nccl_20251218-184823_llama38B_dp1x1_tp8_gpu8.txt,NCCL,LLaMA 3 8B | 8 GPUs | DP=1 TP=8,1,8,8,5888.13,2782.55,0.1,4.36,410.15,0.6,4.84,0.39
nccl_20251218-113851_qwen332B_dp1x16_tp1_gpu16.txt,NCCL,Qwen 32B | 16 GPUs | DP=16 TP=1,16,1,16,14159.72,4628.34,11.52,4.7,2087.13,0.31,4.96,0.0
nccl_20251218-115633_qwen332B_dp1x8_tp2_gpu16.txt,NCCL,Qwen 32B | 16 GPUs | DP=8 TP=2,8,2,16,14463.43,4531.15,8.58,66.12,1832.88,31.92,85.65,0.88
nccl_20251218-121006_qwen332B_dp1x4_tp4_gpu16.txt,NCCL,Qwen 32B | 16 GPUs | DP=4 TP=4,4,4,16,15289.32,4286.39,7.86,128.73,1827.01,25.41,159.64,0.54
nccl_20251218-142332_qwen332B_dp1x2_tp8_gpu16.txt,NCCL,Qwen 32B | 16 GPUs | DP=2 TP=8,2,8,16,12989.71,5045.23,5.18,4.21,2552.82,0.67,4.82,0.11
